"view","size","width","height","faces","surface_px","pixels","px_per_face"
"enclosed","deck","1280","800","118826","1023999","1024000","8.618"
"enclosed","dev","2560","1440","134076","3686393","3686400","27.495"
"enclosed","high","3840","2160","141110","8294392","8294400","58.78"
"outdoor","deck","1280","800","30827","35088","1024000","1.138"
"outdoor","dev","2560","1440","96480","113755","3686400","1.179"
"outdoor","high","3840","2160","236443","255858","8294400","1.082"
"close","deck","1280","800","460776","846769","1024000","1.838"
"close","dev","2560","1440","612030","2857450","3686400","4.669"
"close","high","3840","2160","653933","6429115","8294400","9.831"
"mid","deck","1280","800","557","594","1024000","1.066"
"mid","dev","2560","1440","1858","1993","3686400","1.073"
"mid","high","3840","2160","4270","4474","8294400","1.048"
"far","deck","1280","800","0","0","1024000","0"
"far","dev","2560","1440","0","0","3686400","0"
"far","high","3840","2160","0","0","8294400","0"
"distant","deck","1280","800","0","0","1024000","0"
"distant","dev","2560","1440","0","0","3686400","0"
"distant","high","3840","2160","0","0","8294400","0"
"sky","deck","1280","800","0","0","1024000","0"
"sky","dev","2560","1440","0","0","3686400","0"
"sky","high","3840","2160","0","0","8294400","0"
