"mode","view","size","width","height","fly","total_ms","worst_ms","cpu_ms","dominant","dominant_ms","resident","world_chunks","bricks","solid_voxels","regions","speckle","fireflies","frames"
"realtime","enclosed","deck","1280","800","","2.91","3.473","3.176","visibility","1.176","55","74","301770","127198381","18 of 18","17.2","9","60"
"realtime","enclosed","dev","2560","1440","","7.907","8.274","9.808","visibility","3.486","54","74","300457","0","","8.44","16","60"
"realtime","enclosed","high","3840","2160","","17.457","17.792","20.607","visibility","7.511","54","74","300457","0","","7.42","0","60"
"realtime","outdoor","deck","1280","800","","2.161","2.65","3.125","visibility","0.807","63","74","246717","0","","12.59","360","60"
"realtime","outdoor","dev","2560","1440","","6.287","7.386","8.427","visibility","2.669","63","74","259695","0","","6.23","192","60"
"realtime","outdoor","high","3840","2160","","17.523","20.56","21.191","visibility","6.885","63","74","274649","0","","5.91","72","60"
"realtime","close","deck","1280","800","","3.798","4.402","8.983","visibility","1.589","47","74","241525","0","","56.8","1728","60"
"realtime","close","dev","2560","1440","","9.881","10.314","17.97","visibility","5.022","58","74","294172","0","","23.44","2496","60"
"realtime","close","high","3840","2160","","27.021","30.982","35.708","visibility","11.113","64","74","306276","0","","11.49","2160","60"
"realtime","mid","deck","1280","800","","1.924","2.077","2.297","faces","0.792","67","74","306526","0","","8.38","45","60"
"realtime","mid","dev","2560","1440","","4.446","4.823","4.954","resolve","1.842","71","74","307008","0","","4.76","96","60"
"realtime","mid","high","3840","2160","","10.786","22.021","10.894","resolve","5.309","69","74","306578","0","","4.54","36","60"
"realtime","far","deck","1280","800","","1.097","1.44","1.556","resolve","0.52","0","74","0","0","","7.93","45","60"
"realtime","far","dev","2560","1440","","3.269","3.598","3.576","resolve","1.813","0","74","0","0","","4.48","160","60"
"realtime","far","high","3840","2160","","6.966","7.35","7.386","resolve","4.073","0","74","0","0","","4.28","36","60"
"realtime","distant","deck","1280","800","","0.9","1.218","1.147","resolve","0.5","0","74","0","0","","7.24","0","60"
"realtime","distant","dev","2560","1440","","2.847","3.164","3.09","resolve","1.779","0","74","0","0","","3.91","0","60"
"realtime","distant","high","3840","2160","","6.461","6.789","6.695","resolve","4.012","0","74","0","0","","3.87","0","60"
"realtime","sky","deck","1280","800","","0.919","1.482","1.171","visibility","0.442","0","74","0","0","","0.74","0","60"
"realtime","sky","dev","2560","1440","","3.008","3.379","3.251","visibility","1.536","0","74","0","0","","0.29","0","60"
"realtime","sky","high","3840","2160","","6.667","6.951","6.919","visibility","3.468","0","74","0","0","","0.27","0","60"
