"mode","view","size","width","height","fly","total_ms","worst_ms","cpu_ms","dominant","dominant_ms","nodes","leaves","world_chunks","content","solid_voxels","regions","speckle","fireflies","frames"
"realtime","enclosed","deck","1280","800","","2.886","3.341","4.011","visibility","1.134","442968","262144","74","766f2fd63f1a01c4","127198381","no ladder, the world is at the detail the clip asked for","19.99","9","60"
"realtime","enclosed","dev","2560","1440","","7.3","7.742","9.417","resolve","2.923","442968","262144","74","766f2fd63f1a01c4","127198381","no ladder, the world is at the detail the clip asked for","8.41","16","60"
"realtime","enclosed","high","3840","2160","","18.266","18.855","20.674","visibility","8.569","442968","262144","74","766f2fd63f1a01c4","127198381","no ladder, the world is at the detail the clip asked for","7.43","0","60"
"realtime","outdoor","deck","1280","800","","2.081","2.578","3.119","visibility","0.818","130136","47494","74","766f2fd63f1a01c4","127198381","no ladder, the world is at the detail the clip asked for","12.6","324","60"
"realtime","outdoor","dev","2560","1440","","6.363","8.588","8.283","visibility","2.684","134440","50685","74","766f2fd63f1a01c4","127198381","no ladder, the world is at the detail the clip asked for","6.29","224","60"
"realtime","outdoor","high","3840","2160","","16.56","18.301","20.533","visibility","5.958","137216","52072","74","766f2fd63f1a01c4","127198381","no ladder, the world is at the detail the clip asked for","5.91","108","60"
"realtime","close","deck","1280","800","","4.408","4.839","9.227","visibility","2.203","276008","185790","74","766f2fd63f1a01c4","127198381","no ladder, the world is at the detail the clip asked for","56.91","1746","60"
"realtime","close","dev","2560","1440","","10.313","10.714","17.33","visibility","5.38","276496","185849","74","766f2fd63f1a01c4","127198381","no ladder, the world is at the detail the clip asked for","23.45","2576","60"
"realtime","close","high","3840","2160","","27.974","32.679","36.192","visibility","11.04","276632","186018","74","766f2fd63f1a01c4","127198381","no ladder, the world is at the detail the clip asked for","11.44","2016","60"
"realtime","mid","deck","1280","800","","1.751","2.147","2.27","faces","0.598","101272","28807","74","766f2fd63f1a01c4","127198381","no ladder, the world is at the detail the clip asked for","8.49","45","60"
"realtime","mid","dev","2560","1440","","4.241","4.705","4.958","resolve","1.884","121448","39401","74","766f2fd63f1a01c4","127198381","no ladder, the world is at the detail the clip asked for","4.77","160","60"
"realtime","mid","high","3840","2160","","9.665","10.49","10.622","resolve","4.247","125656","42452","74","766f2fd63f1a01c4","127198381","no ladder, the world is at the detail the clip asked for","4.55","36","60"
"realtime","far","deck","1280","800","","1.104","1.465","1.57","resolve","0.528","12424","1313","74","766f2fd63f1a01c4","127198381","no ladder, the world is at the detail the clip asked for","7.95","54","60"
"realtime","far","dev","2560","1440","","3.251","3.632","3.611","resolve","1.851","40920","8422","74","766f2fd63f1a01c4","127198381","no ladder, the world is at the detail the clip asked for","4.48","144","60"
"realtime","far","high","3840","2160","","7.082","7.43","7.518","resolve","4.143","80656","19856","74","766f2fd63f1a01c4","127198381","no ladder, the world is at the detail the clip asked for","4.27","36","60"
"realtime","distant","deck","1280","800","","0.915","1.164","1.163","resolve","0.517","576","0","74","766f2fd63f1a01c4","127198381","no ladder, the world is at the detail the clip asked for","7.24","0","60"
"realtime","distant","dev","2560","1440","","2.88","3.271","3.133","resolve","1.821","832","0","74","766f2fd63f1a01c4","127198381","no ladder, the world is at the detail the clip asked for","3.9","0","60"
"realtime","distant","high","3840","2160","","6.535","6.916","6.772","resolve","4.064","7216","563","74","766f2fd63f1a01c4","127198381","no ladder, the world is at the detail the clip asked for","3.87","0","60"
"realtime","sky","deck","1280","800","","0.891","1.146","1.143","visibility","0.428","120","0","74","766f2fd63f1a01c4","127198381","no ladder, the world is at the detail the clip asked for","0.7","0","60"
"realtime","sky","dev","2560","1440","","2.995","3.494","3.246","visibility","1.539","120","0","74","766f2fd63f1a01c4","127198381","no ladder, the world is at the detail the clip asked for","0.29","0","60"
"realtime","sky","high","3840","2160","","6.65","6.982","6.907","visibility","3.457","120","0","74","766f2fd63f1a01c4","127198381","no ladder, the world is at the detail the clip asked for","0.27","0","60"
