"mode","view","size","width","height","fly","total_ms","worst_ms","cpu_ms","dominant","dominant_ms","resident","world_chunks","bricks","solid_voxels","regions","speckle","fireflies","frames"
"realtime","enclosed","deck","1280","800","","2.193","3.499","2.455","visibility","1.015","54","74","300457","0","","17.53","1485","60"
"realtime","enclosed","dev","2560","1440","","8.787","18.158","7.709","resolve","4.319","54","74","300457","0","","7.39","1904","60"
"realtime","enclosed","high","3840","2160","","14.907","15.374","16.445","resolve","7.217","54","74","300457","0","","4.57","2160","60"
"realtime","outdoor","deck","1280","800","","1.635","3.302","1.91","visibility","0.726","64","74","261008","0","","15.37","1476","60"
"realtime","outdoor","dev","2560","1440","","5.431","6.594","5.692","visibility","2.435","63","74","259695","0","","7.47","2432","60"
"realtime","outdoor","high","3840","2160","","12.519","13.356","13.267","visibility","5.337","65","74","288946","0","","6.75","2772","60"
"realtime","close","deck","1280","800","","2.681","4.316","3.029","visibility","1.577","50","74","232313","0","","98.28","16785","60"
"realtime","close","dev","2560","1440","","8.364","9.72","8.664","visibility","4.745","58","74","294172","0","","30.89","18688","60"
"realtime","close","high","3840","2160","","17.717","19.285","19.163","visibility","10.01","64","74","306276","0","","17.22","23436","60"
"realtime","mid","deck","1280","800","","1.116","2.423","1.804","resolve","0.565","67","74","306526","0","","7.85","0","60"
"realtime","mid","dev","2560","1440","","3.827","4.986","4.088","resolve","2.073","71","74","307008","0","","4.49","32","60"
"realtime","mid","high","3840","2160","","10.963","24.576","9.391","resolve","5.995","69","74","306578","0","","4.63","0","60"
"realtime","far","deck","1280","800","","1.435","2.758","1.699","visibility","0.598","0","74","0","0","","7.26","0","60"
"realtime","far","dev","2560","1440","","4.855","5.944","5.119","resolve","2.085","0","74","0","0","","4.02","0","60"
"realtime","far","high","3840","2160","","12.68","26.829","11.941","visibility","6.241","0","74","0","0","","3.99","0","60"
"realtime","distant","deck","1280","800","","1.514","2.8","1.771","visibility","0.607","0","74","0","0","","6.68","0","60"
"realtime","distant","dev","2560","1440","","4.953","6.296","5.228","visibility","2.168","0","74","0","0","","3.7","0","60"
"realtime","distant","high","3840","2160","","11.277","12.553","12.431","visibility","4.961","0","74","0","0","","3.7","0","60"
"realtime","sky","deck","1280","800","","1.331","2.798","1.577","visibility","0.882","0","74","0","0","","0.32","0","60"
"realtime","sky","dev","2560","1440","","4.53","6.018","4.789","visibility","3.08","0","74","0","0","","0.19","0","60"
"realtime","sky","high","3840","2160","","13.505","35.949","11.261","visibility","9.487","0","74","0","0","","0.18","0","60"
